bin_index,low,high,n,bin_acc,bin_conf,calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,8,0.625,0.35623833909630775,0.26876166090369225
4,0.4,0.5,31,0.5483870967741935,0.45088604477144056,0.09750105200275294
5,0.5,0.6000000000000001,35,0.6857142857142857,0.5449525833129882,0.14076170240129748
6,0.6000000000000001,0.7000000000000001,27,0.5925925925925926,0.6522907239419443,0.05969813134935176
7,0.7000000000000001,0.8,36,0.75,0.7477581749359766,0.0022418250640233728
8,0.8,0.9,38,0.8421052631578947,0.8517713672236392,0.00966610406574453
9,0.9,1.0,137,0.9635036496350365,0.9748215066255445,0.011317856990507913
